,City ID,City Name,Country Code,Date,Latitude,Longitude,Humidity,Temperature,Wind Speed,Cloudiness
139,2648579,Glasgow,GB,05/03/20,55.87,-4.26,81,48.07,6.93,62
140,3369157,Cape Town,ZA,05/03/20,-33.93,18.42,87,54.59,2.24,99
141,2077895,Alice Springs,AU,05/03/20,-23.7,133.88,71,50.0,12.26,0
142,3347019,Mossamedes,AO,05/03/20,-15.2,12.15,56,78.1,1.23,0
143,1261142,Numāligarh,IN,05/03/20,26.63,93.75,81,72.14,0.72,12
144,3372707,Ribeira Grande,PT,05/03/20,38.52,-28.7,77,60.46,30.56,99
145,1266821,Khawhai,IN,05/03/20,23.37,93.12,73,54.86,1.88,4
146,2132606,Samarai,PG,05/03/20,-10.62,150.67,83,81.61,15.3,99
147,1624041,Ternate,ID,05/03/20,0.8,127.4,74,83.05,2.42,84
148,1684803,Tabuk,PH,05/03/20,17.42,121.44,77,79.14,4.7,81
149,3386213,Touros,BR,05/03/20,-5.2,-35.46,78,80.6,6.93,20
150,5983720,Iqaluit,CA,05/03/20,63.75,-68.51,72,12.09,16.11,75
151,2381334,Atar,MR,05/03/20,20.52,-13.05,11,86.23,4.38,0
152,6930743,Vzmorye,RU,05/03/20,54.7,20.24,100,41.0,4.47,0
153,2164457,Grenfell,AU,05/03/20,-33.9,148.17,71,46.18,2.8,0
154,715355,Szendrő,HU,05/03/20,48.4,20.73,66,50.0,8.05,30
155,2025456,Chernyshevskiy,RU,05/03/20,63.01,112.47,73,34.09,2.73,44
156,2270385,Camacha,PT,05/03/20,33.08,-16.33,77,66.2,14.99,40
157,917011,Gwembe,ZM,05/03/20,-16.5,27.61,44,63.72,0.69,5
158,2121025,Srednekolymsk,RU,05/03/20,67.45,153.68,96,29.97,14.32,100
159,3867427,Mayor Pablo Lagerenza,PY,05/03/20,-19.93,-60.77,50,79.43,4.16,75
160,3839982,Punta Alta,AR,05/03/20,-38.88,-62.07,83,57.78,11.32,94
161,2400547,Gamba,GA,05/03/20,-2.65,10.0,92,78.3,4.9,74
162,5380437,Pacific Grove,US,05/03/20,36.62,-121.92,52,59.47,14.99,1
